% Service logfile
% 1 	Time (sec)
% 2 	Message
1739279824.1484 Setup finished OK=1
1739552435.9544 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9538832
1739552435.9653 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9644558
1739552435.9736 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9731767
1739552435.9844 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9841163
1739552435.9938 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552435.9935591
1739552436.0039 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.0033197
1739552436.0134 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.013012
1739552436.0240 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.0236454
1739552436.0334 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.0329978
1739552436.0440 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.043715
1739552436.0531 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.0529075
1739552436.0636 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.0630877
1739552436.0742 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.0738814
1739552436.0842 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.0837557
1739552436.0938 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.0934455
1739552436.1044 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.104074
1739552436.1137 Mixer order: robobot/cmd/ti/rc 0.250 0.991 1739552436.1132693
1739552436.1236 Mixer order: robobot/cmd/ti/rc 0.250 0.976 1739552436.1231017
1739552436.1341 Mixer order: robobot/cmd/ti/rc 0.250 0.941 1739552436.1337738
1739552436.1441 Mixer order: robobot/cmd/ti/rc 0.250 0.935 1739552436.143789
1739552436.1538 Mixer order: robobot/cmd/ti/rc 0.250 0.898 1739552436.1534011
1739552436.1665 Mixer order: robobot/cmd/ti/rc 0.250 0.879 1739552436.1654458
1739552436.1734 Mixer order: robobot/cmd/ti/rc 0.250 0.864 1739552436.172994
1739552436.1843 Mixer order: robobot/cmd/ti/rc 0.250 0.849 1739552436.183786
1739552436.1941 Mixer order: robobot/cmd/ti/rc 0.250 -0.059 1739552436.1936398
1739552436.2043 Mixer order: robobot/cmd/ti/rc 0.250 0.293 1739552436.2035327
1739552436.2146 Mixer order: robobot/cmd/ti/rc 0.250 0.313 1739552436.2139044
1739552436.2236 Mixer order: robobot/cmd/ti/rc 0.250 0.404 1739552436.223263
1739552436.2335 Mixer order: robobot/cmd/ti/rc 0.250 0.534 1739552436.2330973
1739552436.2445 Mixer order: robobot/cmd/ti/rc 0.250 0.660 1739552436.2440362
1739552436.2546 Mixer order: robobot/cmd/ti/rc 0.250 0.769 1739552436.2540677
1739552436.2638 Mixer order: robobot/cmd/ti/rc 0.250 0.885 1739552436.2632627
1739552436.2745 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.2740424
1739552436.2844 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.283905
1739552436.2942 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.293801
1739552436.3033 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.3030033
1739552436.3145 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.3140767
1739552436.3242 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.3233986
1739552436.3340 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.3333511
1739552436.3439 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.3432004
1739552436.3536 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.3531969
1739552436.3647 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.3634388
1739552436.3742 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.373742
1739552436.3850 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.3844464
1739552436.3937 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.3932586
1739552436.4041 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.4037297
1739552436.4133 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.4129364
1739552436.4238 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.423483
1739552436.4333 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.4330463
1739552436.4438 Mixer order: robobot/cmd/ti/rc 0.250 0.995 1739552436.4436078
1739552436.4539 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.4533792
1739552436.4644 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.463963
1739552436.4741 Mixer order: robobot/cmd/ti/rc 0.250 1.000 1739552436.4736705
