% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1739552412.2398 0.078 -0.001 -0.0206 -3.0940
1739552412.2449 0.079 -0.001 -0.0206 -3.0944
1739552412.2497 0.081 -0.001 -0.0206 -3.0954
1739552412.2550 0.082 -0.001 -0.0222 -3.0960
1739552412.2605 0.083 -0.001 -0.0222 -3.0966
1739552412.2649 0.084 -0.001 -0.0222 -3.0969
1739552412.2697 0.086 -0.001 -0.0222 -3.0969
1739552412.2756 0.087 -0.001 -0.0222 -3.0972
1739552412.2804 0.088 -0.001 -0.0222 -3.0975
1739552412.2852 0.089 -0.001 -0.0222 -3.0979
1739552412.2897 0.091 -0.001 -0.0222 -3.0981
1739552412.2948 0.092 -0.001 -0.0238 -3.0984
1739552412.3003 0.093 -0.001 -0.0238 -3.0988
1739552412.3054 0.094 -0.001 -0.0222 -3.0990
1739552412.3101 0.096 -0.001 -0.0222 -3.0990
1739552412.3151 0.097 -0.001 -0.0222 -3.0991
1739552412.3205 0.098 -0.001 -0.0222 -3.0995
1739552412.3255 0.099 -0.001 -0.0206 -3.0998
1739552412.3302 0.101 -0.001 -0.0222 -3.0994
1739552412.3350 0.101 -0.001 -0.0222 -3.0993
1739552412.3397 0.103 -0.001 -0.0222 -3.0996
1739552412.3456 0.104 -0.001 -0.0206 -3.1000
1739552412.3500 0.105 -0.001 -0.0206 -3.1002
1739552412.3555 0.106 -0.001 -0.0222 -3.1001
1739552412.3611 0.107 -0.001 -0.0206 -3.1003
1739552412.3653 0.108 -0.001 -0.0206 -3.1008
1739552412.3708 0.110 -0.001 -0.0206 -3.1013
1739552412.3761 0.111 -0.001 -0.0206 -3.1015
1739552412.3810 0.112 -0.001 -0.0190 -3.1013
1739552412.3859 0.113 -0.002 -0.0190 -3.1014
1739552412.3904 0.115 -0.002 -0.0174 -3.1018
1739552412.3952 0.115 -0.002 -0.0174 -3.1020
1739552412.4010 0.117 -0.002 -0.0143 -3.1034
1739552412.4054 0.117 -0.002 -0.0127 -3.1052
1739552412.4109 0.118 -0.002 -0.0127 -3.1083
1739552412.4157 0.119 -0.002 -0.0095 -3.1108
1739552412.4202 0.120 -0.002 -0.0063 -3.1139
1739552412.4252 0.120 -0.002 -0.0048 -3.1155
1739552412.4311 0.121 -0.002 -0.0016 -3.1167
1739552412.4353 0.121 -0.002 -0.0000 -3.1167
1739552412.4408 0.122 -0.002 0.0048 -3.1172
1739552412.4458 0.123 -0.002 0.0095 -3.1181
1739552412.4503 0.123 -0.002 0.0159 -3.1203
1739552412.4553 0.124 -0.002 0.0174 -3.1216
1739552412.4602 0.125 -0.002 0.0238 -3.1236
1739552412.4654 0.125 -0.002 0.0270 -3.1248
1739552412.4709 0.125 -0.002 0.0317 -3.1250
1739552412.4756 0.126 -0.002 0.0365 -3.1247
1739552412.4802 0.126 -0.002 0.0396 -3.1241
1739552412.4853 0.126 -0.002 0.0428 -3.1237
1739552412.4911 0.127 -0.001 0.0507 -3.1237
1739552412.4961 0.127 -0.001 0.0539 -3.1239
1739552412.5006 0.128 -0.001 0.0587 -3.1239
1739552412.5057 0.128 -0.001 0.0603 -3.1236
1739552412.5103 0.129 -0.001 0.0650 -3.1229
1739552412.5152 0.129 -0.001 0.0682 -3.1225
1739552412.5210 0.129 -0.001 0.0729 -3.1222
1739552412.5260 0.130 -0.001 0.0745 -3.1220
1739552412.5307 0.130 -0.001 0.0777 -3.1216
1739552412.5355 0.131 -0.001 0.0793 -3.1211
1739552412.5410 0.131 -0.001 0.0825 -3.1205
1739552412.5459 0.131 -0.001 0.0856 -3.1203
1739552412.5507 0.132 -0.001 0.0888 -3.1201
1739552412.5559 0.132 -0.001 0.0920 -3.1200
1739552412.5605 0.132 -0.001 0.0951 -3.1195
1739552412.5662 0.133 -0.001 0.0983 -3.1192
1739552412.5709 0.133 -0.001 0.0999 -3.1188
1739552412.5758 0.133 -0.001 0.1031 -3.1188
1739552412.5810 0.133 -0.001 0.1047 -3.1190
1739552412.5860 0.134 -0.001 0.1078 -3.1192
1739552412.5905 0.134 -0.001 0.1094 -3.1192
1739552412.5955 0.135 -0.001 0.1110 -3.1191
1739552412.6009 0.135 -0.001 0.1158 -3.1192
1739552412.6065 0.135 -0.001 0.1158 -3.1195
1739552412.6104 0.136 -0.001 0.1205 -3.1195
1739552412.6154 0.136 -0.001 0.1221 -3.1193
1739552412.6211 0.137 -0.001 0.1237 -3.1189
1739552412.6260 0.137 -0.001 0.1269 -3.1189
1739552412.6307 0.138 -0.000 0.1285 -3.1187
1739552412.6357 0.138 -0.000 0.1300 -3.1185
1739552412.6404 0.139 -0.000 0.1300 -3.1182
1739552412.6455 0.139 -0.000 0.1300 -3.1180
1739552412.6510 0.140 -0.000 0.1300 -3.1178
1739552412.6559 0.140 -0.000 0.1316 -3.1176
1739552412.6603 0.140 -0.000 0.1332 -3.1173
1739552412.6662 0.141 -0.000 0.1348 -3.1173
1739552412.6711 0.141 0.000 0.1364 -3.1175
1739552412.6762 0.142 0.000 0.1364 -3.1176
1739552412.6811 0.142 0.000 0.1380 -3.1172
1739552412.6862 0.143 0.000 0.1396 -3.1167
1739552412.6910 0.143 0.000 0.1427 -3.1163
1739552412.6958 0.143 0.000 0.1443 -3.1163
1739552412.7005 0.144 0.000 0.1491 -3.1160
1739552412.7057 0.144 0.000 0.1522 -3.1157
1739552412.7112 0.145 0.001 0.1570 -3.1152
1739552412.7161 0.145 0.001 0.1586 -3.1150
1739552412.7205 0.146 0.001 0.1633 -3.1148
1739552412.7253 0.146 0.001 0.1649 -3.1147
1739552412.7304 0.146 0.001 0.1681 -3.1151
1739552412.7354 0.147 0.001 0.1713 -3.1156
1739552412.7410 0.148 0.001 0.1744 -3.1161
1739552412.7459 0.148 0.001 0.1760 -3.1163
1739552412.7505 0.149 0.001 0.1792 -3.1164
1739552412.7557 0.149 0.001 0.1792 -3.1161
1739552412.7606 0.150 0.001 0.1824 -3.1152
1739552412.7662 0.150 0.001 0.1855 -3.1147
1739552412.7709 0.151 0.002 0.1903 -3.1148
1739552412.7763 0.151 0.002 0.1919 -3.1148
1739552412.7805 0.151 0.002 0.1966 -3.1145
1739552412.7863 0.152 0.002 0.1998 -3.1146
1739552412.7909 0.152 0.002 0.2014 -3.1157
1739552412.7961 0.153 0.002 0.2046 -3.1169
1739552412.8006 0.153 0.002 0.2077 -3.1182
1739552412.8058 0.154 0.002 0.2093 -3.1186
1739552412.8113 0.154 0.002 0.2141 -3.1184
1739552412.8161 0.154 0.002 0.2157 -3.1179
1739552412.8211 0.155 0.002 0.2204 -3.1174
1739552412.8261 0.156 0.003 0.2236 -3.1171
1739552412.8307 0.156 0.003 0.2252 -3.1173
1739552412.8358 0.157 0.003 0.2268 -3.1170
1739552412.8413 0.157 0.003 0.2284 -3.1161
1739552412.8460 0.158 0.003 0.2299 -3.1157
1739552412.8507 0.158 0.003 0.2331 -3.1159
1739552412.8561 0.158 0.003 0.2363 -3.1162
1739552412.8606 0.159 0.003 0.2410 -3.1162
1739552412.8657 0.159 0.003 0.2442 -3.1159
1739552412.8712 0.160 0.004 0.2474 -3.1154
1739552412.8761 0.160 0.004 0.2506 -3.1154
1739552412.8810 0.161 0.004 0.2521 -3.1157
1739552412.8860 0.161 0.004 0.2553 -3.1162
1739552412.8905 0.161 0.004 0.2569 -3.1168
1739552412.8956 0.162 0.004 0.2601 -3.1169
1739552412.9010 0.162 0.004 0.2648 -3.1174
1739552412.9058 0.163 0.004 0.2664 -3.1173
1739552412.9120 0.163 0.005 0.2712 -3.1166
1739552412.9161 0.164 0.005 0.2728 -3.1161
1739552412.9206 0.164 0.005 0.2743 -3.1156
1739552412.9256 0.165 0.005 0.2759 -3.1155
1739552412.9314 0.165 0.005 0.2775 -3.1150
1739552412.9362 0.166 0.005 0.2791 -3.1146
1739552412.9410 0.167 0.005 0.2807 -3.1143
1739552412.9462 0.167 0.006 0.2839 -3.1144
1739552412.9506 0.168 0.006 0.2854 -3.1146
1739552412.9559 0.168 0.006 0.2854 -3.1146
1739552412.9617 0.169 0.006 0.2886 -3.1143
1739552412.9656 0.169 0.006 0.2902 -3.1141
1739552412.9705 0.170 0.006 0.2934 -3.1140
1739552412.9761 0.170 0.006 0.2950 -3.1142
1739552412.9808 0.171 0.007 0.2981 -3.1142
1739552412.9865 0.171 0.007 0.3013 -3.1141
1739552412.9913 0.172 0.007 0.3029 -3.1140
1739552412.9960 0.172 0.007 0.3076 -3.1139
1739552413.0009 0.173 0.007 0.3076 -3.1139
1739552413.0060 0.173 0.007 0.3124 -3.1139
1739552413.0111 0.174 0.008 0.3140 -3.1138
1739552413.0159 0.174 0.008 0.3172 -3.1137
1739552413.0206 0.175 0.008 0.3187 -3.1138
1739552413.0262 0.175 0.008 0.3235 -3.1137
1739552413.0310 0.175 0.008 0.3251 -3.1135
1739552413.0371 0.176 0.008 0.3298 -3.1134
1739552413.0419 0.176 0.008 0.3330 -3.1137
1739552413.0470 0.176 0.009 0.3362 -3.1148
1739552413.0517 0.177 0.009 0.3378 -3.1153
1739552413.0566 0.177 0.009 0.3425 -3.1159
1739552413.0615 0.178 0.009 0.3441 -3.1162
